what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332325606329
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332325918282
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332325928247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1332325928249
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332325937678
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332325937763
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332325941028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1332325941030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332325999664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326139109
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332326194502
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1332326194506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326205374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1332326205409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326208356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326220785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326229004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326332024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326352765
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.callhierarchy.view",1332326355241
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.callhierarchy.view",1332326355278
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy",1332326355325
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332326356531
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.callhierarchy.view",1332326358825
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1332326358842
closed,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.callhierarchy.view",1332326358864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326389382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326389488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326417237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326479379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326694064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326699432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332326805896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1332326805928
